M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
2000.	2000.	0.64587	1.	-1.5	0.1	0.1	0.1	0.	0.	0.	15.4368	0.49125	0.492856	0.00201738	0.00196629	0.00068991	0.000638822	0.00196626	0.00197437	15.437	0.493514	0.000368134	0.490234	0.00377942	0.000202727	0.00132738	0.00393748	0.000575312	0.000326141	0.000144019
2000.	2000.	0.64587	1.	-1.5	0.2	0.2	0.2	0.	0.	0.	16.2335	0.467143	0.46867	0.00809486	0.00799568	0.00273175	0.00263257	0.00799555	0.00791772	16.2336	0.469296	0.000350069	0.466177	0.0152702	0.00081909	0.0053631	0.0159088	0.00244441	0.00138189	0.000611916
2000.	2000.	0.64587	1.	-1.5	0.3	0.3	0.3	0.	0.	0.	17.5824	0.431303	0.432712	0.0171142	0.0169759	0.00575121	0.00561292	0.0169757	0.0167366	17.5825	0.433291	0.000323211	0.430411	0.0323537	0.00173545	0.0113631	0.0337067	0.00560947	0.00316853	0.00140423
2000.	2000.	0.64587	1.	-1.5	0.4	0.4	0.4	0.	0.	0.	19.4837	0.389214	0.390487	0.0276974	0.0275304	0.00928844	0.00912148	0.02753	0.0270837	19.4838	0.391009	0.000291671	0.38841	0.0524155	0.00281156	0.018409	0.0546075	0.0100705	0.00568607	0.00252097
2000.	2000.	0.64587	1.	-1.5	0.5	0.5	0.5	0.	0.	0.	21.9374	0.345682	0.346812	0.0386383	0.0384526	0.0129416	0.0127559	0.0384519	0.0377802	21.9375	0.347276	0.000259049	0.344968	0.0731658	0.0039246	0.0256968	0.0762255	0.0158274	0.00893451	0.00396212
2000.	2000.	0.64587	1.	-1.5	0.6	0.6	0.6	0.	0.	0.	24.9433	0.304023	0.305017	0.0491046	0.0489083	0.0164339	0.0162376	0.0489075	0.0480123	24.9434	0.305425	0.000227831	0.303395	0.093023	0.00498973	0.0326709	0.0969132	0.0228803	0.0129139	0.00572769
2000.	2000.	0.64587	1.	-1.5	0.7	0.7	0.7	0.	0.	0.	28.5017	0.266067	0.266937	0.058638	0.0584374	0.0196131	0.0194125	0.0584365	0.0573321	28.5017	0.267295	0.000199387	0.265518	0.111115	0.0059602	0.0390251	0.115762	0.0312292	0.0176241	0.00781768
2000.	2000.	0.64587	1.	-1.5	0.8	0.8	0.8	0.	0.	0.	32.6123	0.23253	0.23329	0.0670595	0.066859	0.0224202	0.0222197	0.0668579	0.0655648	32.6124	0.233603	0.000174255	0.232051	0.127101	0.00681767	0.0446395	0.132416	0.040874	0.0230652	0.0102321
2000.	2000.	0.64587	1.	-1.5	0.9	0.9	0.9	0.	0.	0.	37.2753	0.203442	0.204107	0.0743625	0.0741651	0.0248535	0.024656	0.0741638	0.0727039	37.2754	0.20438	0.000152457	0.203022	0.140966	0.00756141	0.0495093	0.146862	0.0518147	0.0292373	0.0129709
2000.	2000.	0.64587	1.	-1.5	1.	1.	1.	0.	0.	0.	42.4906	0.178471	0.179055	0.0806305	0.080438	0.0269412	0.0267486	0.0804366	0.0788312	42.4907	0.179295	0.000133744	0.178103	0.152869	0.00819986	0.0536896	0.159262	0.0640514	0.0361402	0.0160342
2000.	2000.	0.64587	1.	-1.5	1.1	1.1	1.1	0.	0.	0.	48.2583	0.157141	0.157655	0.0859839	0.0857973	0.0287236	0.028537	0.0857959	0.0840642	48.2583	0.157866	0.000117759	0.156817	0.163036	0.00874524	0.0572605	0.169854	0.0775841	0.0437741	0.0194218
2000.	2000.	0.64587	1.	-1.5	1.2	1.2	1.2	0.	0.	0.	54.5783	0.138945	0.139399	0.09055	0.09037	0.0302435	0.0300634	0.0903685	0.0885277	54.5783	0.139586	0.000104123	0.138658	0.17171	0.00921049	0.0603068	0.178891	0.0924127	0.0521388	0.0231339
2000.	2000.	0.64587	1.	-1.5	1.3	1.3	1.3	0.	0.	0.	61.4506	0.123406	0.123809	0.0944487	0.0942754	0.0315407	0.0313675	0.0942739	0.0923386	61.4507	0.123975	0.0000924786	0.123151	0.179117	0.00960779	0.0629082	0.186607	0.108537	0.0612344	0.0271704
2000.	2000.	0.64587	1.	-1.5	1.4	1.4	1.4	0.	0.	0.	68.8753	0.110103	0.110463	0.0977859	0.0976194	0.0326509	0.0324844	0.0976178	0.0956007	68.8753	0.110611	0.0000825096	0.109876	0.185458	0.00994792	0.0651353	0.193214	0.125958	0.071061	0.0315313
2000.	2000.	0.64587	1.	-1.5	1.5	1.5	1.5	0.	0.	0.	76.8523	0.0986744	0.0989969	0.100652	0.100492	0.0336042	0.0334443	0.100491	0.0984027	76.8524	0.0991298	0.0000739454	0.0984709	0.190905	0.0102401	0.0670485	0.198889	0.144674	0.0816184	0.0362167
2000.	2000.	0.64587	1.	-1.5	1.6	1.6	1.6	0.	0.	0.	85.3816	0.0888171	0.0891074	0.103125	0.102971	0.0344261	0.0342726	0.102969	0.100819	85.3817	0.089227	0.0000665585	0.088634	0.195604	0.0104922	0.0686987	0.203784	0.164687	0.0929067	0.0412264
2000.	2000.	0.64587	1.	-1.5	1.7	1.7	1.7	0.	0.	0.	94.4633	0.0802783	0.0805407	0.105266	0.105118	0.0351378	0.0349903	0.105117	0.102912	94.4634	0.0806488	0.0000601595	0.0801127	0.199674	0.0107105	0.0701282	0.208024	0.185995	0.104926	0.0465606
