M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
3000.	3000.	0.648985	1.	1.1	0.1	0.1	0.1	0.	0.	0.	12.5387	0.481708	0.483295	0.00436409	0.00439628	0.00144405	0.00147624	0.00439625	0.00431996	12.5387	0.482689	0.000159274	0.482156	0.00831401	0.000445962	0.00291999	0.0087163	0.0000189653	0.0000115836	4.53906*10^-6
3000.	3000.	0.648985	1.	1.1	0.2	0.2	0.2	0.	0.	0.	13.8233	0.436943	0.438382	0.0155749	0.0156329	0.00517236	0.00523038	0.0156328	0.0154185	13.8233	0.437833	0.000144472	0.437349	0.0296186	0.00158874	0.0104025	0.0310518	0.0000744858	0.0000455413	0.0000178271
3000.	3000.	0.648985	1.	1.1	0.3	0.3	0.3	0.	0.	0.	15.9539	0.378592	0.379839	0.0301963	0.0302715	0.0100404	0.0101157	0.0302713	0.0298939	15.9539	0.379363	0.000125179	0.378944	0.0573891	0.00307834	0.0201558	0.0601659	0.000166568	0.000101877	0.0000398655
3000.	3000.	0.648985	1.	1.1	0.4	0.4	0.4	0.	0.	0.	18.9303	0.319065	0.320116	0.0451166	0.0452011	0.0150108	0.0150952	0.0452007	0.0446653	18.9303	0.319714	0.000105497	0.319361	0.0857193	0.00459796	0.0301057	0.0898669	0.000295211	0.000180591	0.0000706544
3000.	3000.	0.648985	1.	1.1	0.5	0.5	0.5	0.	0.	0.	22.7527	0.265463	0.266337	0.0585543	0.0586421	0.0194889	0.0195767	0.0586417	0.0579691	22.7528	0.266003	0.0000877736	0.265709	0.11123	0.00596634	0.0390653	0.116612	0.000460416	0.000281683	0.000110194
3000.	3000.	0.648985	1.	1.1	0.6	0.6	0.6	0.	0.	0.	27.4211	0.220268	0.220994	0.0698858	0.0699732	0.0232662	0.0233536	0.0699727	0.0691877	27.4211	0.220717	0.0000728304	0.220473	0.132738	0.00712007	0.0466195	0.139161	0.000662182	0.000405153	0.000158484
3000.	3000.	0.648985	1.	1.1	0.7	0.7	0.7	0.	0.	0.	32.9354	0.18339	0.183994	0.0791335	0.0792184	0.0263496	0.0264344	0.0792178	0.0783433	32.9354	0.183763	0.0000606366	0.18356	0.15029	0.00806152	0.0527838	0.157562	0.00090051	0.000551001	0.000215524
3000.	3000.	0.648985	1.	1.1	0.8	0.8	0.8	0.	0.	0.	39.2956	0.153707	0.154213	0.0865775	0.0866587	0.0288321	0.0289134	0.0866581	0.0857131	39.2956	0.15402	0.0000508222	0.15385	0.164417	0.00881927	0.0577453	0.172372	0.0011754	0.000719228	0.000281314
3000.	3000.	0.648985	1.	1.1	0.9	0.9	0.9	0.	0.	0.	46.5018	0.129888	0.130316	0.0925515	0.0926288	0.0308248	0.030902	0.0926281	0.0916277	46.5018	0.130152	0.0000429465	0.130008	0.175753	0.00942734	0.0617267	0.184257	0.00148685	0.000909832	0.000355856
3000.	3000.	0.648985	1.	1.1	1.	1.	1.	0.	0.	0.	54.5539	0.110716	0.111081	0.0973603	0.0974334	0.0324291	0.0325022	0.0974327	0.0963887	54.5539	0.110942	0.0000366077	0.110819	0.184877	0.00991675	0.0649311	0.193822	0.00183486	0.00112281	0.000439147
3000.	3000.	0.648985	1.	1.1	1.1	1.1	1.1	0.	0.	0.	63.4519	0.0951903	0.0955039	0.101255	0.101324	0.0337286	0.0337978	0.101323	0.100245	63.4519	0.0953841	0.0000314741	0.0952788	0.192266	0.0103131	0.0675263	0.201569	0.00221944	0.00135818	0.000531189
3000.	3000.	0.648985	1.	1.1	1.2	1.2	1.2	0.	0.	0.	73.1959	0.0825184	0.0827902	0.104434	0.104499	0.0347896	0.034855	0.104499	0.103392	73.1959	0.0826864	0.0000272842	0.0825951	0.198297	0.0106366	0.0696444	0.207891	0.00264057	0.00161591	0.000631981
3000.	3000.	0.648985	1.	1.1	1.3	1.3	1.3	0.	0.	0.	83.7858	0.0720886	0.0723261	0.107051	0.107113	0.035663	0.0357249	0.107112	0.105983	83.7858	0.0722354	0.0000238357	0.0721557	0.20326	0.0109028	0.0713877	0.213095	0.00309827	0.00189603	0.000741524
3000.	3000.	0.648985	1.	1.1	1.4	1.4	1.4	0.	0.	0.	95.2216	0.063431	0.06364	0.109223	0.109282	0.0363882	0.0364468	0.109281	0.108134	95.2217	0.0635602	0.0000209731	0.06349	0.207381	0.0111239	0.0728349	0.217415	0.00359253	0.00219853	0.000859818
3000.	3000.	0.648985	1.	1.1	1.5	1.5	1.5	0.	0.	0.	107.503	0.0561843	0.0563694	0.111042	0.111097	0.0369953	0.0370509	0.111096	0.109934	107.503	0.0562987	0.000018577	0.0562365	0.21083	0.0113089	0.0740461	0.221031	0.00412335	0.0025234	0.000986861
3000.	3000.	0.648985	1.	1.1	1.6	1.6	1.6	0.	0.	0.	120.631	0.05007	0.050235	0.112576	0.112629	0.0375077	0.0375606	0.112628	0.111453	120.631	0.050172	0.0000165553	0.0501166	0.21374	0.0114649	0.0750681	0.224082	0.00469073	0.00287065	0.00112266
3000.	3000.	0.648985	1.	1.1	1.7	1.7	1.7	0.	0.	0.	134.605	0.0448721	0.0450199	0.11388	0.113931	0.0379433	0.0379937	0.11393	0.112745	134.605	0.0449635	0.0000148367	0.0449138	0.216213	0.0115976	0.075937	0.226675	0.00529467	0.00324028	0.0012672
3000.	3000.	0.648985	1.	1.1	1.8	1.8	1.8	0.	0.	0.	149.424	0.0404218	0.040555	0.114997	0.115045	0.0383164	0.0383645	0.115045	0.11385	149.424	0.0405041	0.0000133652	0.0404594	0.218331	0.0117112	0.0766808	0.228896	0.00593517	0.00363229	0.0014205
3000.	3000.	0.648985	1.	1.1	1.9	1.9	1.9	0.	0.	0.	165.09	0.0365861	0.0367067	0.11596	0.116006	0.0386381	0.038684	0.116005	0.114804	165.09	0.0366606	0.000012097	0.0366202	0.220157	0.0118092	0.077322	0.230809	0.00661224	0.00404667	0.00158254
3000.	3000.	0.648985	1.	1.1	2.	2.	2.	0.	0.	0.	181.601	0.0332597	0.0333692	0.116795	0.116839	0.0389171	0.038961	0.116838	0.11563	181.601	0.0333274	0.0000109971	0.0332906	0.22174	0.0118941	0.077878	0.232469	0.00732586	0.00448344	0.00175334
3000.	3000.	0.648985	1.	1.1	2.1	2.1	2.1	0.	0.	0.	198.959	0.0303581	0.0304581	0.117524	0.117566	0.0391605	0.0392026	0.117565	0.116352	198.959	0.0304199	0.0000100377	0.0303863	0.223121	0.0119682	0.078363	0.233917	0.00807605	0.00494258	0.00193288
3000.	3000.	0.648985	1.	1.1	2.2	2.2	2.2	0.	0.	0.	217.162	0.0278133	0.027905	0.118162	0.118203	0.039374	0.0394144	0.118202	0.116984	217.162	0.02787	9.19631*10^-6	0.0278392	0.224332	0.0120331	0.0787883	0.235187	0.0088628	0.0054241	0.00212118
