M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
3000.	3000.	0.648324	1.	0.1	0.1	0.1	0.1	0.	0.	0.	0.522367	0.0951736	0.0956811	0.101235	0.101304	0.0337219	0.0337912	0.101303	0.100225	0.522367	0.095368	0.0000315132	0.0954552	0.192228	0.0103111	0.0675129	0.201529	0.0000182678	0.0000111789	4.37213*10^-6
3000.	3000.	0.648324	1.	0.1	0.2	0.2	0.2	0.	0.	0.	1.78753	0.0278123	0.0279607	0.118156	0.118196	0.0393717	0.0394122	0.118195	0.116977	1.78753	0.0278691	9.20902*10^-6	0.0278946	0.224319	0.0120324	0.0787838	0.235173	0.0000729483	0.000044645	0.0000174591
3000.	3000.	0.648324	1.	0.1	0.3	0.3	0.3	0.	0.	0.	3.8952	0.0127633	0.0128313	0.121939	0.121967	0.040637	0.0406648	0.121966	0.120723	3.8952	0.0127893	4.22608*10^-6	0.012801	0.231488	0.012417	0.0813018	0.242689	0.000164041	0.000100398	0.0000392609
3000.	3000.	0.648324	1.	0.1	0.4	0.4	0.4	0.	0.	0.	6.84537	0.00726266	0.00730138	0.123323	0.123344	0.0411005	0.0411217	0.123343	0.122093	6.84537	0.00727748	2.40476*10^-6	0.00728414	0.234109	0.0125576	0.0822222	0.245437	0.000291547	0.000178438	0.0000697775
3000.	3000.	0.648324	1.	0.1	0.5	0.5	0.5	0.	0.	0.	10.638	0.00467338	0.0046983	0.123975	0.123992	0.0413192	0.0413362	0.123991	0.122739	10.638	0.00468292	1.54741*10^-6	0.0046872	0.235342	0.0126237	0.0826554	0.24673	0.000455466	0.000278766	0.000109009
3000.	3000.	0.648324	1.	0.1	0.6	0.6	0.6	0.	0.	0.	15.2732	0.00325508	0.00327244	0.124332	0.124346	0.0414393	0.0414535	0.124345	0.123093	15.2732	0.00326173	1.0778*10^-6	0.00326471	0.236018	0.01266	0.0828927	0.247438	0.000655798	0.00040138	0.000156955
3000.	3000.	0.648324	1.	0.1	0.7	0.7	0.7	0.	0.	0.	20.7509	0.00239583	0.00240861	0.124549	0.124561	0.0415121	0.0415243	0.12456	0.123307	20.7509	0.00240072	7.9329*10^-7	0.00240292	0.236427	0.0126819	0.0830365	0.247867	0.000892542	0.000546282	0.000213617
3000.	3000.	0.648324	1.	0.1	0.8	0.8	0.8	0.	0.	0.	27.071	0.00183649	0.00184628	0.12469	0.1247	0.0415597	0.0415704	0.1247	0.123447	27.071	0.00184024	6.08084*10^-7	0.00184192	0.236694	0.0126962	0.0831301	0.248147	0.0011657	0.000713471	0.000278993
3000.	3000.	0.648324	1.	0.1	0.9	0.9	0.9	0.	0.	0.	34.2337	0.00145224	0.00145998	0.124787	0.124796	0.0415924	0.0416019	0.124795	0.123543	34.2337	0.00145521	4.80855*10^-7	0.00145654	0.236877	0.012706	0.0831944	0.248339	0.00147527	0.000902947	0.000353084
3000.	3000.	0.648324	1.	0.1	1.	1.	1.	0.	0.	0.	42.2388	0.00117701	0.00118329	0.124856	0.124865	0.0416159	0.0416245	0.124864	0.123612	42.2388	0.00117941	3.89723*10^-7	0.00118049	0.237008	0.0127131	0.0832404	0.248476	0.00182125	0.00111471	0.000435889
3000.	3000.	0.648324	1.	0.1	1.1	1.1	1.1	0.	0.	0.	51.0865	0.000973164	0.000978353	0.124908	0.124916	0.0416334	0.0416412	0.124915	0.123663	51.0865	0.000975151	3.22227*10^-7	0.000976043	0.237105	0.0127183	0.0832745	0.248578	0.00220365	0.00134876	0.00052741
3000.	3000.	0.648324	1.	0.1	1.2	1.2	1.2	0.	0.	0.	60.7766	0.000818004	0.000822366	0.124947	0.124954	0.0416467	0.0416538	0.124953	0.123702	60.7766	0.000819674	2.70851*10^-7	0.000820424	0.237179	0.0127222	0.0833005	0.248655	0.00262245	0.0016051	0.000627645
3000.	3000.	0.648324	1.	0.1	1.3	1.3	1.3	0.	0.	0.	71.3093	0.000697182	0.000700899	0.124978	0.124984	0.0416571	0.0416636	0.124983	0.123732	71.3093	0.000698605	2.30846*10^-7	0.000699244	0.237237	0.0127253	0.0833207	0.248716	0.00307767	0.00188372	0.000736596
3000.	3000.	0.648324	1.	0.1	1.4	1.4	1.4	0.	0.	0.	82.6844	0.000601268	0.000604474	0.125002	0.125008	0.0416653	0.0416714	0.125007	0.123756	82.6844	0.000602496	1.99087*10^-7	0.000603047	0.237282	0.0127278	0.0833367	0.248764	0.00356931	0.00218463	0.000854261
3000.	3000.	0.648324	1.	0.1	1.5	1.5	1.5	0.	0.	0.	94.9021	0.000523861	0.000526655	0.125022	0.125027	0.041672	0.0416777	0.125026	0.123776	94.9021	0.000524931	1.73457*10^-7	0.000525411	0.237319	0.0127298	0.0833497	0.248802	0.00409735	0.00250783	0.000980641
3000.	3000.	0.648324	1.	0.1	1.6	1.6	1.6	0.	0.	0.	107.962	0.00046049	0.000462945	0.125038	0.125043	0.0416775	0.0416828	0.125042	0.123792	107.962	0.00046143	1.52474*10^-7	0.000461852	0.237349	0.0127314	0.0833603	0.248834	0.00466181	0.00285332	0.00111574
3000.	3000.	0.648324	1.	0.1	1.7	1.7	1.7	0.	0.	0.	121.865	0.000407956	0.000410131	0.125051	0.125056	0.041682	0.0416871	0.125055	0.123805	121.865	0.000408789	1.35079*10^-7	0.000409163	0.237375	0.0127327	0.0833691	0.24886	0.00526268	0.00322109	0.00125955
3000.	3000.	0.648324	1.	0.1	1.8	1.8	1.8	0.	0.	0.	136.61	0.000363923	0.000365864	0.125062	0.125067	0.0416858	0.0416906	0.125066	0.123816	136.61	0.000364666	1.20499*10^-7	0.000365	0.237395	0.0127338	0.0833764	0.248882	0.00589997	0.00361115	0.00141207
3000.	3000.	0.648324	1.	0.1	1.9	1.9	1.9	0.	0.	0.	152.198	0.000326651	0.000328393	0.125072	0.125076	0.0416891	0.0416936	0.125075	0.123825	152.198	0.000327318	1.08158*10^-7	0.000327617	0.237413	0.0127348	0.0833827	0.248901	0.00657366	0.0040235	0.00157331
3000.	3000.	0.648324	1.	0.1	2.	2.	2.	0.	0.	0.	168.628	0.000294824	0.000296396	0.12508	0.125084	0.0416919	0.0416962	0.125083	0.123833	168.628	0.000295426	9.76199*10^-8	0.000295696	0.237428	0.0127356	0.083388	0.248917	0.00728377	0.00445813	0.00174326
3000.	3000.	0.648324	1.	0.1	2.1	2.1	2.1	0.	0.	0.	185.9	0.000267431	0.000268857	0.125087	0.125091	0.0416943	0.0416983	0.12509	0.12384	185.9	0.000267977	8.85497*10^-8	0.000268222	0.237441	0.0127363	0.0833926	0.24893	0.0080303	0.00491505	0.00192193
3000.	3000.	0.648324	1.	0.1	2.2	2.2	2.2	0.	0.	0.	204.016	0.000243685	0.000244984	0.125093	0.125097	0.0416963	0.0417002	0.125096	0.123846	204.016	0.000244182	8.06872*10^-8	0.000244406	0.237453	0.0127369	0.0833966	0.248942	0.00881323	0.00539426	0.00210932
3000.	3000.	0.648324	1.	0.1	2.3	2.3	2.3	0.	0.	0.	222.973	0.000222966	0.000224155	0.125098	0.125102	0.0416982	0.0417019	0.125101	0.123852	222.973	0.000223422	7.3827*10^-8	0.000223626	0.237463	0.0127374	0.0834	0.248953	0.00963258	0.00589576	0.00230542
3000.	3000.	0.648324	1.	0.1	2.4	2.4	2.4	0.	0.	0.	242.773	0.000204782	0.000205874	0.125103	0.125106	0.0416998	0.0417033	0.125105	0.123856	242.773	0.0002052	6.78058*10^-8	0.000205387	0.237471	0.0127379	0.0834031	0.248962	0.0104883	0.00641954	0.00251023
