M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
1500.	1500.	0.648107	1.	0.1	-3.	-3.	-3.	0.	0.	0.	188.564	0.000131646	0.000134461	0.125599	0.125587	0.0418701	0.0418585	0.125583	0.120593	188.564	0.000132717	1.74696*10^-7	0.000133212	0.238398	0.0127876	0.0837286	0.246176	3.6505	2.16063	1.03362
1500.	1500.	0.648107	1.	0.1	-2.9	-2.9	-2.9	0.	0.	0.	176.203	0.000140881	0.000143893	0.125597	0.125585	0.0418695	0.0418576	0.125581	0.120591	176.203	0.000142028	1.86951*10^-7	0.000142557	0.238394	0.0127874	0.083727	0.246172	3.41114	2.01896	0.965848
1500.	1500.	0.648107	1.	0.1	-2.8	-2.8	-2.8	0.	0.	0.	164.261	0.000151123	0.000154354	0.125594	0.125582	0.0418688	0.0418565	0.125578	0.120588	164.261	0.000152353	2.00542*10^-7	0.000152921	0.238389	0.0127871	0.0837253	0.246167	3.17989	1.88209	0.900371
1500.	1500.	0.648107	1.	0.1	-2.7	-2.7	-2.7	0.	0.	0.	152.739	0.000162524	0.000165999	0.125592	0.125579	0.0418681	0.0418553	0.125575	0.120586	152.739	0.000163846	2.15671*10^-7	0.000164457	0.238383	0.0127868	0.0837234	0.246161	2.95676	1.75003	0.837192
1500.	1500.	0.648107	1.	0.1	-2.6	-2.6	-2.6	0.	0.	0.	141.635	0.000175265	0.000179012	0.125589	0.125575	0.0418673	0.041854	0.125572	0.120583	141.635	0.000176691	2.32579*10^-7	0.00017735	0.238377	0.0127865	0.0837212	0.246155	2.74174	1.62276	0.776311
1500.	1500.	0.648107	1.	0.1	-2.5	-2.5	-2.5	0.	0.	0.	130.951	0.000189565	0.000193618	0.125585	0.125571	0.0418663	0.0418525	0.125568	0.12058	130.951	0.000191108	2.51555*10^-7	0.00019182	0.23837	0.0127861	0.0837188	0.246148	2.53484	1.50031	0.717729
1500.	1500.	0.648107	1.	0.1	-2.4	-2.4	-2.4	0.	0.	0.	120.685	0.000205689	0.000210087	0.125581	0.125567	0.0418653	0.0418508	0.125563	0.120576	120.685	0.000207363	2.72952*10^-7	0.000208136	0.238363	0.0127857	0.0837161	0.24614	2.33606	1.38265	0.661444
1500.	1500.	0.648107	1.	0.1	-2.3	-2.3	-2.3	0.	0.	0.	110.839	0.000223961	0.00022875	0.125577	0.125562	0.041864	0.041849	0.125558	0.120572	110.839	0.000225784	2.97199*10^-7	0.000226626	0.238354	0.0127852	0.083713	0.24613	2.14539	1.2698	0.607457
1500.	1500.	0.648107	1.	0.1	-2.2	-2.2	-2.2	0.	0.	0.	101.412	0.00024478	0.000250014	0.125572	0.125556	0.0418626	0.0418469	0.125553	0.120567	101.412	0.000246772	3.24827*10^-7	0.000247692	0.238344	0.0127847	0.0837095	0.24612	1.96284	1.16175	0.555768
1500.	1500.	0.648107	1.	0.1	-2.1	-2.1	-2.1	0.	0.	0.	92.4041	0.000268643	0.000274386	0.125566	0.12555	0.0418609	0.0418445	0.125546	0.120562	92.4041	0.000270829	3.56492*10^-7	0.000271839	0.238332	0.0127841	0.0837054	0.246108	1.7884	1.05851	0.506377
1500.	1500.	0.648107	1.	0.1	-2.	-2.	-2.	0.	0.	0.	83.8152	0.000296171	0.000302504	0.12556	0.125542	0.041859	0.0418417	0.125539	0.120556	83.8152	0.000298582	3.93023*10^-7	0.000299695	0.238319	0.0127834	0.0837008	0.246095	1.62208	0.960071	0.459284
