M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
1500.	1499.99	0.643926	1.	-1.5	0.1	0.1	0.1	0.	0.	0.	11.721	0.491643	0.494336	0.00180342	0.00171592	0.000631658	0.000544159	0.00171587	0.00173815	11.7213	0.495677	0.000658321	0.489678	0.00333549	0.000178915	0.00117147	0.00344431	0.00317501	0.00189574	0.000898991
1500.	1499.99	0.643926	1.	-1.5	0.2	0.2	0.2	0.	0.	0.	12.2911	0.468838	0.471406	0.00759146	0.00741813	0.00258955	0.00241622	0.00741792	0.00730213	12.2914	0.472685	0.000627785	0.466964	0.0142416	0.000763914	0.00500182	0.0147062	0.0142157	0.00844474	0.00402513
1500.	1499.99	0.643926	1.	-1.5	0.3	0.3	0.3	0.	0.	0.	13.2696	0.434265	0.436644	0.0163365	0.0160927	0.00552797	0.00528417	0.0160923	0.0157041	13.2699	0.43783	0.000581493	0.432531	0.0307752	0.00165077	0.0108086	0.0317793	0.0331649	0.0196742	0.00939052
1500.	1499.99	0.643926	1.	-1.5	0.4	0.4	0.4	0.	0.	0.	14.6565	0.393172	0.395326	0.0267154	0.0264193	0.00900491	0.0087088	0.0264185	0.0256732	14.6568	0.396401	0.00052647	0.391604	0.0504272	0.00270491	0.0177107	0.0520725	0.0600225	0.0355841	0.0169952
1500.	1499.99	0.643926	1.	-1.5	0.5	0.5	0.5	0.	0.	0.	16.4518	0.350268	0.352187	0.0375419	0.037211	0.0126253	0.0122943	0.0372099	0.0360709	16.452	0.353146	0.000469022	0.348872	0.0709456	0.00380551	0.0249171	0.0732604	0.0947885	0.0561746	0.026839
1500.	1499.99	0.643926	1.	-1.5	0.6	0.6	0.6	0.	0.	0.	18.6554	0.308893	0.310585	0.0479759	0.0476248	0.0161099	0.0157588	0.0476235	0.0460906	18.6557	0.311432	0.00041362	0.307662	0.0907329	0.00486689	0.0318666	0.0936932	0.137463	0.0814455	0.0389221
1500.	1499.99	0.643926	1.	-1.5	0.7	0.7	0.7	0.	0.	0.	21.2674	0.270956	0.27244	0.0575384	0.0571785	0.0193002	0.0189403	0.0571768	0.0552725	21.2677	0.273183	0.000362821	0.269877	0.108876	0.0058401	0.0382388	0.112429	0.188046	0.111397	0.0532445
1500.	1499.99	0.643926	1.	-1.5	0.8	0.8	0.8	0.	0.	0.	24.2878	0.23726	0.23856	0.0660281	0.0656674	0.0221302	0.0217696	0.0656655	0.0634238	24.2881	0.239211	0.000317702	0.236316	0.124991	0.0067045	0.0438985	0.129069	0.246537	0.146029	0.0698061
1500.	1499.99	0.643926	1.	-1.5	0.9	0.9	0.9	0.	0.	0.	27.7166	0.207909	0.209048	0.0734205	0.0730646	0.0245927	0.0242368	0.0730625	0.0705212	27.7168	0.209619	0.0002784	0.207082	0.139028	0.00745745	0.0488286	0.143564	0.312937	0.185341	0.088607
1500.	1499.99	0.643926	1.	-1.5	1.	1.	1.	0.	0.	0.	31.5537	0.182626	0.183627	0.0797863	0.0794387	0.0267118	0.0263642	0.0794364	0.0766326	31.554	0.184128	0.000244545	0.181899	0.15112	0.00810604	0.0530753	0.15605	0.387245	0.229334	0.109647
1500.	1499.99	0.643926	1.	-1.5	1.1	1.1	1.1	0.	0.	0.	35.7992	0.160968	0.16185	0.0852378	0.0849006	0.0285255	0.0281882	0.0848981	0.081866	35.7995	0.162292	0.000215544	0.160328	0.161478	0.00866164	0.0567132	0.166746	0.469462	0.278007	0.132926
1500.	1499.99	0.643926	1.	-1.5	1.2	1.2	1.2	0.	0.	0.	40.4531	0.14245	0.14323	0.0898978	0.089572	0.0300749	0.0297491	0.0895694	0.0863393	40.4534	0.143621	0.000190747	0.141883	0.170334	0.0091367	0.0598237	0.175892	0.559587	0.331361	0.158445
1500.	1499.99	0.643926	1.	-1.5	1.3	1.3	1.3	0.	0.	0.	45.5154	0.126606	0.1273	0.0938835	0.0935697	0.0313994	0.0310856	0.0935669	0.0901652	45.5156	0.127648	0.000169532	0.126103	0.177912	0.00954314	0.0624849	0.183716	0.657621	0.389395	0.186203
1500.	1499.99	0.643926	1.	-1.5	1.4	1.4	1.4	0.	0.	0.	50.986	0.113022	0.113641	0.0973001	0.0969983	0.0325343	0.0322325	0.0969954	0.0934447	50.9863	0.113951	0.000151342	0.112572	0.184408	0.00989163	0.0647667	0.190425	0.763562	0.45211	0.2162
1500.	1499.99	0.643926	1.	-1.5	1.5	1.5	1.5	0.	0.	0.	56.865	0.101337	0.101892	0.100238	0.0999482	0.0335097	0.0332197	0.0999452	0.0962647	56.8653	0.102171	0.000135695	0.100934	0.189997	0.0101914	0.0667293	0.196196	0.877413	0.519505	0.248436
1500.	1499.99	0.643926	1.	-1.5	1.6	1.6	1.6	0.	0.	0.	63.1524	0.0912481	0.0917479	0.102774	0.102496	0.0343513	0.0340726	0.102493	0.098699	63.1527	0.0919986	0.000122186	0.0908852	0.194822	0.0104502	0.068424	0.201178	0.999172	0.59158	0.282912
1500.	1499.99	0.643926	1.	-1.5	1.7	1.7	1.7	0.	0.	0.	69.8481	0.082501	0.0829528	0.104973	0.104705	0.0350804	0.0348127	0.104702	0.100809	69.8485	0.0831795	0.000110473	0.0821728	0.199005	0.0106746	0.0698932	0.205498	1.12884	0.668337	0.319627
1500.	1499.99	0.643926	1.	-1.5	1.8	1.8	1.8	0.	0.	0.	76.9523	0.0748846	0.0752947	0.106887	0.106629	0.0357149	0.0354575	0.106626	0.102646	76.9526	0.0755005	0.000100274	0.0745867	0.202648	0.01087	0.0711726	0.209259	1.26641	0.749773	0.358581
1500.	1499.99	0.643926	1.	-1.5	1.9	1.9	1.9	0.	0.	0.	84.4648	0.0682242	0.0685978	0.10856	0.108312	0.0362693	0.0360217	0.108309	0.104251	84.4652	0.0687853	0.0000913555	0.0679528	0.205833	0.0110408	0.0722913	0.212549	1.4119	0.83589	0.399774
1500.	1499.99	0.643926	1.	-1.5	2.	2.	2.	0.	0.	0.	92.3856	0.0623748	0.0627165	0.110029	0.109791	0.0367559	0.0365176	0.109787	0.105661	92.3861	0.0628878	0.0000835229	0.0621267	0.208631	0.0111909	0.0732738	0.215437	1.56529	0.926688	0.443206
1500.	1499.99	0.643926	1.	-1.5	2.1	2.1	2.1	0.	0.	0.	100.715	0.0572163	0.0575297	0.111324	0.111095	0.0371848	0.0369552	0.111091	0.106904	100.715	0.0576869	0.0000766155	0.0569888	0.211098	0.0113232	0.0741403	0.217985	1.72659	1.02217	0.488878
1500.	1499.99	0.643926	1.	-1.5	2.2	2.2	2.2	0.	0.	0.	109.453	0.0526488	0.0529371	0.112471	0.11225	0.0375643	0.0373429	0.112246	0.108005	109.453	0.0530818	0.0000704992	0.0524393	0.213282	0.0114404	0.0749075	0.220241	1.8958	1.12232	0.536789
1500.	1499.99	0.643926	1.	-1.5	2.3	2.3	2.3	0.	0.	0.	118.599	0.0485886	0.0488548	0.11349	0.113277	0.0379014	0.0376878	0.113273	0.108983	118.599	0.0489882	0.0000650625	0.0483954	0.215224	0.0115446	0.0755895	0.222246	2.07292	1.22716	0.58694
