M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
2000.	2000.	0.649722	1.	1.1	-3.	-3.	-3.	0.	0.	0.	261.946	0.0154422	0.0155561	0.1215	0.121431	0.0405229	0.0404542	0.121429	0.118779	261.946	0.0155126	0.0000114768	0.0154744	0.230564	0.0123674	0.0809772	0.240206	0.595547	0.335919	0.149085
2000.	2000.	0.649722	1.	1.1	-2.9	-2.9	-2.9	0.	0.	0.	245.284	0.0164912	0.0166128	0.121237	0.121166	0.040436	0.0403651	0.121164	0.118522	245.284	0.0165664	0.0000122565	0.0165256	0.230063	0.0123405	0.0808013	0.239684	0.556452	0.313869	0.139298
2000.	2000.	0.649722	1.	1.1	-2.8	-2.8	-2.8	0.	0.	0.	229.187	0.0176495	0.0177796	0.120947	0.120874	0.04034	0.0402668	0.120872	0.118238	229.187	0.01773	0.0000131173	0.0176863	0.22951	0.0123109	0.080607	0.239108	0.518684	0.292567	0.129844
2000.	2000.	0.649722	1.	1.1	-2.7	-2.7	-2.7	0.	0.	0.	213.655	0.0189324	0.0190721	0.120625	0.120549	0.0402337	0.0401579	0.120547	0.117924	213.655	0.0190188	0.0000140709	0.018972	0.228897	0.012278	0.0803917	0.23847	0.482244	0.272013	0.120721
2000.	2000.	0.649722	1.	1.1	-2.6	-2.6	-2.6	0.	0.	0.	198.69	0.0203585	0.0205086	0.120268	0.120189	0.0401154	0.040037	0.120187	0.117575	198.69	0.0204513	0.0000151307	0.020401	0.228216	0.0122415	0.0801525	0.23776	0.44713	0.252208	0.111931
2000.	2000.	0.649722	1.	1.1	-2.5	-2.5	-2.5	0.	0.	0.	184.29	0.0219492	0.0221111	0.119869	0.119788	0.0399834	0.0399021	0.119786	0.117185	184.29	0.0220494	0.000016313	0.0219951	0.227456	0.0122007	0.0798857	0.236968	0.413344	0.233152	0.103473
2000.	2000.	0.649722	1.	1.1	-2.4	-2.4	-2.4	0.	0.	0.	170.455	0.0237307	0.0239057	0.119422	0.119338	0.0398355	0.0397511	0.119336	0.116748	170.455	0.0238389	0.000017637	0.0237802	0.226605	0.0121551	0.0795868	0.236082	0.380884	0.214844	0.0953477
2000.	2000.	0.649722	1.	1.1	-2.3	-2.3	-2.3	0.	0.	0.	157.187	0.0257339	0.0259237	0.11892	0.118832	0.0396691	0.0395815	0.11883	0.116257	157.187	0.0258513	0.0000191258	0.0257876	0.225649	0.0121037	0.0792508	0.235085	0.349752	0.197284	0.0875543
2000.	2000.	0.649722	1.	1.1	-2.2	-2.2	-2.2	0.	0.	0.	144.484	0.0279964	0.0282029	0.118352	0.118261	0.0394811	0.0393899	0.118259	0.115703	144.484	0.0281241	0.0000208073	0.0280549	0.224568	0.0120458	0.0788712	0.233959	0.319947	0.180473	0.0800931
2000.	2000.	0.649722	1.	1.1	-2.1	-2.1	-2.1	0.	0.	0.	132.346	0.030564	0.0307894	0.117708	0.117613	0.0392677	0.0391726	0.117611	0.115073	132.346	0.0307034	0.0000227156	0.0306278	0.223342	0.01198	0.0784405	0.232682	0.291469	0.164411	0.0729642
2000.	2000.	0.649722	1.	1.1	-2.	-2.	-2.	0.	0.	0.	120.774	0.0334924	0.0337395	0.116973	0.116874	0.0390241	0.0389249	0.116872	0.114355	120.774	0.0336452	0.000024892	0.0335623	0.221943	0.011905	0.0779492	0.231224	0.264318	0.149097	0.0661675
2000.	2000.	0.649722	1.	1.1	-1.9	-1.9	-1.9	0.	0.	0.	109.768	0.0368506	0.0371224	0.11613	0.116027	0.0387447	0.038641	0.116025	0.113531	109.768	0.0370187	0.0000273879	0.0369276	0.220339	0.0118189	0.0773859	0.229553	0.238495	0.134531	0.059703
2000.	2000.	0.649722	1.	1.1	-1.8	-1.8	-1.8	0.	0.	0.	99.3274	0.0407241	0.0410245	0.115158	0.11505	0.0384222	0.0383137	0.115048	0.112581	99.3274	0.0409099	0.0000302667	0.0408091	0.218489	0.0117197	0.0767361	0.227626	0.213998	0.120714	0.0535707
2000.	2000.	0.649722	1.	1.1	-1.7	-1.7	-1.7	0.	0.	0.	89.4525	0.0452198	0.0455533	0.114029	0.113916	0.0380478	0.037934	0.113914	0.111478	89.4525	0.0454261	0.000033608	0.0453142	0.216341	0.0116045	0.0759819	0.225389	0.190829	0.107646	0.0477706
2000.	2000.	0.649722	1.	1.1	-1.6	-1.6	-1.6	0.	0.	0.	80.1432	0.0504724	0.0508447	0.112711	0.112591	0.0376101	0.0374905	0.112589	0.110189	80.1431	0.0507027	0.0000375118	0.0505778	0.213832	0.0114699	0.0751008	0.222775	0.168987	0.0953258	0.0423028
2000.	2000.	0.649722	1.	1.1	-1.5	-1.5	-1.5	0.	0.	0.	71.3995	0.0566533	0.0570712	0.111158	0.111033	0.0370948	0.036969	0.111031	0.108672	71.3995	0.0569118	0.0000421055	0.0567716	0.21088	0.0113116	0.0740639	0.219699	0.148471	0.0837543	0.0371672
2000.	2000.	0.649722	1.	1.1	-1.4	-1.4	-1.4	0.	0.	0.	63.2215	0.0639817	0.0644537	0.109318	0.109185	0.0364835	0.0363509	0.109183	0.106872	63.2214	0.0642737	0.0000475521	0.0641154	0.20738	0.0111238	0.0728346	0.216052	0.129283	0.0729313	0.0323638
