M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
2000.	2000.	0.649722	1.	1.1	0.1	0.1	0.1	0.	0.	0.	8.42691	0.480012	0.483553	0.00453054	0.00460381	0.00148616	0.00155943	0.00460374	0.0044257	8.42691	0.482202	0.000356752	0.481014	0.00866744	0.00046492	0.00304412	0.00902991	0.00072023	0.00040508	0.000180297
2000.	2000.	0.649722	1.	1.1	0.2	0.2	0.2	0.	0.	0.	9.29901	0.434995	0.438203	0.0158296	0.0159605	0.00523326	0.00536418	0.0159603	0.0154689	9.29902	0.436979	0.000323294	0.435902	0.0301697	0.0016183	0.010596	0.0314314	0.00276644	0.00155796	0.000692529
2000.	2000.	0.649722	1.	1.1	0.3	0.3	0.3	0.	0.	0.	10.7367	0.376746	0.379525	0.0304677	0.030637	0.0100998	0.0102691	0.0306365	0.0297771	10.7368	0.378464	0.000280002	0.377532	0.0579919	0.00311067	0.0203675	0.0604171	0.00613978	0.00345933	0.00153699
2000.	2000.	0.649722	1.	1.1	0.4	0.4	0.4	0.	0.	0.	12.7401	0.317503	0.319845	0.0453647	0.0455545	0.0150586	0.0152483	0.0455537	0.0443392	12.7401	0.318951	0.000235972	0.318165	0.0862886	0.0046285	0.0303057	0.0898971	0.0108403	0.0061092	0.00271367
2000.	2000.	0.649722	1.	1.1	0.5	0.5	0.5	0.	0.	0.	15.3091	0.264223	0.266172	0.0587678	0.0589649	0.0195238	0.0197209	0.0589639	0.0574414	15.3091	0.265428	0.000196374	0.264774	0.111737	0.00599355	0.0392435	0.11641	0.0168679	0.00950757	0.00422257
2000.	2000.	0.649722	1.	1.1	0.6	0.6	0.6	0.	0.	0.	18.4437	0.219317	0.220935	0.070068	0.0702641	0.0232908	0.0234869	0.070263	0.0684883	18.4438	0.220317	0.000162999	0.219774	0.133186	0.00714407	0.0467767	0.138756	0.0242226	0.0136544	0.00606371
2000.	2000.	0.649722	1.	1.1	0.7	0.7	0.7	0.	0.	0.	22.144	0.182669	0.184016	0.0792925	0.0794829	0.0263675	0.0265579	0.0794816	0.0775062	22.1441	0.183502	0.000135762	0.18305	0.150691	0.00808301	0.0529245	0.156992	0.0329045	0.0185498	0.00823707
2000.	2000.	0.649722	1.	1.1	0.8	0.8	0.8	0.	0.	0.	26.4099	0.153163	0.154293	0.086721	0.0869034	0.0288463	0.0290287	0.0869019	0.0847685	26.41	0.153861	0.000113833	0.153482	0.164784	0.00883896	0.0578742	0.171675	0.0429135	0.0241936	0.0107426
2000.	2000.	0.649722	1.	1.1	0.9	0.9	0.9	0.	0.	0.	31.2414	0.129476	0.130431	0.0926857	0.0928591	0.0308376	0.0310109	0.0928576	0.0905999	31.2415	0.130066	0.0000962281	0.129746	0.176097	0.00944583	0.0618477	0.183462	0.0542497	0.030586	0.0135805
2000.	2000.	0.649722	1.	1.1	1.	1.	1.	0.	0.	0.	36.6386	0.110403	0.111218	0.0974896	0.0976538	0.0324419	0.0326061	0.0976522	0.0952964	36.6387	0.110907	0.000082053	0.110633	0.185207	0.00993448	0.0650473	0.192953	0.066913	0.0377268	0.0167505
2000.	2000.	0.649722	1.	1.1	1.1	1.1	1.1	0.	0.	0.	42.6014	0.0949504	0.0956508	0.101382	0.101538	0.0337424	0.0338977	0.101536	0.0991023	42.6015	0.0953833	0.0000705682	0.0951484	0.192588	0.0103304	0.0676395	0.200642	0.0809034	0.0456161	0.0202527
2000.	2000.	0.649722	1.	1.1	1.2	1.2	1.2	0.	0.	0.	49.1298	0.0823333	0.0829406	0.104561	0.104708	0.0348049	0.0349518	0.104707	0.10221	49.13	0.0827086	0.000061191	0.0825049	0.198615	0.0106536	0.0697561	0.206921	0.096221	0.054254	0.0240872
